"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"3978","206306_at",-0.326771782389397,0.0640104186074563,-3.67177592233168,0.000579442843811112,0.00259659351572597,-1.18707689732746,"RYR3","ryanodine receptor 3"
"6347","212645_x_at",0.186136855509101,0.0606109654182088,3.67173228953287,0.000579520880984992,0.00259673038582646,-1.18720515907344,"BABAM2","BRISC and BRCA1 A complex member 2"
"8083","218158_s_at",-0.35698545207629,-0.117873271946415,-3.67118407743198,0.000580502215971907,0.00260091441926281,-1.18881659290798,"APPL1","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
"1370","200594_x_at",0.319069565403616,-0.00991563676048525,3.67087253474653,0.000581060606968261,0.00260320294051046,-1.18973229044803,"HNRNPU","heterogeneous nuclear ribonucleoprotein U"
"14662","239242_at",0.388945529458543,0.0909586756138578,3.67057680361222,0.000581591134491725,0.0026053662661479,-1.19060147257302,"SLC25A5-AS1","SLC25A5 antisense RNA 1"
"6131","212160_at",0.665682616060886,0.17618052629067,3.67039974058432,0.000581908999257195,0.002606576645452,-1.19112185840698,"XPOT","exportin for tRNA"
"3316","204858_s_at",0.376128096014099,-0.00977079780664797,3.66937430041877,0.000583753153361218,0.00261462305726424,-1.19413532786873,"TYMP","thymidine phosphorylase"
"14106","236483_at",-0.249673545084834,-0.0235755101477678,-3.66910711619135,0.00058423457718347,0.00261656499897659,-1.19492042444657,NA,NA
"14410","238350_at",0.571273333845094,0.0311005513778251,3.66905476340434,0.000584328953217716,0.00261677332436552,-1.19507425448331,"UBN2","ubinuclein 2"
"10174","223722_at",0.576614927939239,0.171293991062074,3.6687973884804,0.000584793133858285,0.00261863755886173,-1.19583048983131,"DNAJC12","DnaJ heat shock protein family (Hsp40) member C12"
"15650","32069_at",-0.332094260546632,-0.0512611661574053,-3.66872178026886,0.000584929561866773,0.0026190339689678,-1.19605264085326,"N4BP1","NEDD4 binding protein 1"
"8747","219561_at",-0.47119523255321,-0.136587499284514,-3.66861719755506,0.000585118321954701,0.00261966461291134,-1.19635992000277,"COPZ2","coat protein complex I subunit zeta 2"
"1618","201182_s_at",0.301664854678848,0.0200909093153847,3.66843611328696,0.000585445296838449,0.00262091391178598,-1.19689195981625,"CHD4","chromodomain helicase DNA binding protein 4"
"5950","211728_s_at",0.31635465378491,0.0296106107683021,3.66834679113927,0.000585606645894267,0.00262142159524063,-1.19715438971574,"HYAL3","hyaluronidase 3"
"11929","228141_at",0.857489602452392,0.0757576706796169,3.66827669716651,0.00058573329154834,0.00262177386126938,-1.19736032434263,"GPX8","glutathione peroxidase 8 (putative)"
"13333","232967_at",-0.21849737929081,0.056855803087357,-3.66772385702729,0.000586733082353957,0.00262603399457291,-1.19898447738045,NA,NA
"2684","203557_s_at",0.485264246404024,0.0179453256773111,3.66761255091535,0.000586934572998035,0.00262672078077004,-1.19931145923969,"PCBD1","pterin-4 alpha-carbinolamine dehydratase 1"
"11118","226217_at",0.378907648843464,0.0827803349494684,3.66758462796068,0.000586985130617485,0.00262673203605426,-1.19939348707503,"SLC30A7","solute carrier family 30 member 7"
"3689","205671_s_at",0.572588785467414,0.0919987413778611,3.66749347351747,0.00058715020494137,0.00262725570465418,-1.19966126430547,"HLA-DOB","major histocompatibility complex, class II, DO beta"
"1299","1569879_a_at",0.324845245263941,0.0815166999033332,3.66691490245264,0.000588198994461628,0.00263173322603842,-1.2013607972212,"MEGF11","multiple EGF like domains 11"
"7478","215883_at",-0.29225598991566,0.0504118391595554,-3.66668378804203,0.000588618442645066,0.00263339443184837,-1.20203964463115,"CTNNA1","catenin alpha 1"
"8877","219886_at",0.329264583697151,0.0171910963817368,3.66643688557646,0.00058906686114821,0.00263518496426758,-1.20276483861369,"CEP97","centrosomal protein 97"
"3382","204993_at",-0.356138593451474,0.0421421891472106,-3.66607843660885,0.00058971845046712,0.00263777332301008,-1.20381761311836,"GNAZ","G protein subunit alpha z"
"13501","234076_at",0.21107375102565,0.0355009639711768,3.66606551641713,0.000589741949711482,0.00263777332301008,-1.20385555896596,NA,NA
"495","1555724_s_at",-0.864501291889029,-0.202906624096738,-3.66538253008367,0.000590985443497355,0.00264288734923089,-1.20586133973711,"TAGLN","transgelin"
"7375","215492_x_at",-0.194950311382349,-0.0153012659389005,-3.66536618661112,0.00059101523035177,0.00264288734923089,-1.20590933427524,"PTCRA","pre T cell antigen receptor alpha"
"8019","218019_s_at",-0.51132883245925,-0.12814933902933,-3.6653578987525,0.00059103033596792,0.00264288734923089,-1.20593367250398,"PDXK","pyridoxal kinase"
"8020","218019_s_at",-0.51132883245925,-0.12814933902933,-3.6653578987525,0.00059103033596792,0.00264288734923089,-1.20593367250398,"LOC105372824","uncharacterized LOC105372824"
